id_anonyme,type_repondant,sexe,serie_bac,famille_bac,note_malagasy,note_francais,note_langue_vivante,note_hg,note_philosophie,note_mathematiques,note_spc,note_svt,note_ses,score_scientifique_dur,score_scientifique_naturel,score_litteraire,score_economique,moyenne_generale,mention_diplome,matiere_mathematiques,matiere_physique,matiere_informatique,matiere_svt,matiere_francais,matiere_malagasy,matiere_hg,matiere_ses,matiere_arts,matiere_autre,competence_logique,competence_programmation,competence_expression,competence_manuelle,competence_relationnelle,competence_creativite,competence_organisation,competence_esprit_critique,competence_autre,interet_technologie,interet_science,interet_art,interet_sante,interet_entrepreneuriat,interet_environnement,interet_social,interet_sport,interet_autre,experience_projet_prog,experience_stage,experience_association,experience_projet_perso,metier_vise,environnement,prerequis_bases_algo,prerequis_anglais,prerequis_maths_avancees,parcours_choisi,niveau_actuel,annee_fin_etudes,metier_exerce,anciennete_metier,satisfaction,referait_choix,commentaire_retrospectif
rep_synth_0009,etudiant,homme,s,scientifique,10,9,9,9,4,15,17,11,,16.0,11.0,8.2,,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,developpeur,terrain,0,1,1,icmp,l2,0,,,4,oui,
rep_synth_0193,etudiant,homme,s,scientifique,6,12,9,9,10,17,12,10,,14.5,10.0,9.2,,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,technicien_superieur,recherche,1,0,1,emii,m1,0,,,5,oui,
rep_synth_0132,etudiant,homme,s,scientifique,7,13,9,12,7,16,16,14,,16.0,14.0,9.6,,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,developpeur,bureau,1,1,1,isaia,m2,0,,,5,oui,
rep_synth_0290,professionnel,homme,s,scientifique,16,10,10,14,10,16,13,13,,14.5,13.0,12.0,,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,comptable,bureau,1,0,0,fic,,2008,analyste_financier,204,4,oui,
rep_synth_0042,etudiant,homme,a2,litteraire,15,12,16,19,15,8,,,,,,15.4,,4,3,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,assistant_juridique,bureau,0,1,1,dtja,l1,0,,,4,oui,
rep_synth_0135,etudiant,homme,a1,litteraire,12,16,18,10,17,11,,,,,,14.6,,4,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,developpeur_web,relationnel,0,1,0,tee,l2,0,,,4,oui,
rep_synth_0298,professionnel,homme,a1,litteraire,15,16,16,13,15,8,,,,,,15.0,,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,commercial_export,bureau,1,1,0,caa,,2018,commercial_export,72,5,oui,
rep_synth_0216,etudiant,femme,s,scientifique,10,7,18,11,12,10,13,11,,11.5,11.0,11.6,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,analyste_financier,bureau,0,1,0,fic,l2,0,,,3,oui,
rep_synth_0191,etudiant,homme,d,scientifique,10,12,8,8,12,15,8,18,,11.5,18.0,10.0,,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,technicien_production_vegetale,laboratoire,1,1,1,pip,l1,0,,,5,oui,
rep_synth_0078,etudiant,homme,c,scientifique,11,10,8,8,8,18,16,11,,17.0,11.0,9.0,,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,conducteur_travaux,bureau,1,1,1,gca,l1,0,,,5,oui,
rep_synth_0054,etudiant,homme,c,scientifique,13,15,9,13,9,15,17,9,,16.0,9.0,11.8,,3,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,charge_etudes,relationnel,0,1,1,fic,m1,0,,,4,oui,
rep_synth_0082,etudiant,homme,s,scientifique,12,7,11,8,12,17,16,10,,16.5,10.0,10.0,,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ingenieur_electronique,recherche,1,1,1,esii,l3,0,,,5,oui,
rep_synth_0092,etudiant,femme,a1,litteraire,15,16,19,12,15,11,,,,,,15.4,,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,economiste,relationnel,1,1,0,emp,m2,0,,,5,oui,
rep_synth_0179,etudiant,femme,c,scientifique,10,14,15,12,13,18,16,13,,17.0,13.0,12.8,,4,3,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,conducteur_travaux,bureau,1,1,0,gca,l2,0,,,5,oui,
