id,categorie,question,reponse_attendue,outils,reponse_obtenue,verdict,justification
TC-01,Factuelles sur les formations,Quelles sont les matières principales enseignées dans le parcours ISAIA ?,L'agent liste les matières exactes de la maquette pédagogique en citant le document officiel comme source.,rechercher_docs,"Le parcours **ISAIA** (Informatique et Statistique Appliquée) à l'ISPM est axé sur le traitement des données et le développement informatique.

Les matières principales enseignées sont :
*   **Les statistiques** ;
*   **Les mathématiques** ;
*   **La programmation** ;
*   **L'algorithmique**.

Ce parcours vise à former des spécialistes capables de maîtriser la logique, l'analyse et le développement.

Source : Site officiel ISPM — https://ispm-edu.com/ et documentation institutionnelle des parcours.

*Note : Ce parcours est réservé aux bacheliers des séries scientifiques (C, D, S). Il est conseillé d'avoir un bon niveau en mathématiques avancées et des bases en algorithmique pour réussir dans cette filière.*",SUCCÈS,réponse correcte et sourcée
TC-02,Factuelles sur les formations,Quel est le diplôme délivré à la fin du cursus IGGLIA et en combien d'années ?,L'agent donne le niveau (Master / Ingénieur) et la durée sans inventer d'équivalence externe.,rechercher_docs,"Le cursus **IGGLIA** (Gestion & Informatique) à l'ISPM se déroule sur **5 ans** et permet d'obtenir un diplôme de niveau **Master** (Ingénierie).

Source : Site officiel ISPM — https://ispm-edu.com/",SUCCÈS,réponse correcte et sourcée
TC-03,Factuelles sur les formations,Quels sont les débouchés professionnels principaux pour la filière GCA ?,L'agent restitue exactement la liste des métiers visés extraite du corpus documentaire.,rechercher_docs,"La filière **GCA (Génie Civil & Architecture)** de l'ISPM prépare les étudiants aux métiers du bâtiment et des travaux publics.

Les principaux débouchés professionnels pour les diplômés de ce parcours sont :
*   **Ingénieur en Génie Civil** ;
*   **Dessinateur-projeteur** ;
*   **Conducteur de travaux**.

Cette formation met l'accent sur le dessin technique, la programmation et les mathématiques, tout en développant la créativité et la rigueur géométrique nécessaires à ces professions.

Source : Site officiel ISPM — https://ispm-edu.com/ et documentation institutionnelle de l'ISPM.

*Note : La décision finale d'admission à l'ISPM relève exclusivement de la commission pédagogique.*",SUCCÈS,réponse correcte et sourcée
TC-04,Factuelles sur les formations,Quels sont les prérequis d'admission recommandés pour s'inscrire en Master Data Science / ML ?,L'agent énumère les prérequis (baccalauréat requis,rechercher_docs,"Pour répondre à votre question concernant les prérequis pour s'orienter vers des domaines comme la Data Science ou le Machine Learning (ML) à l'ISPM, voici les informations basées sur nos documents institutionnels :

Bien que l'ISPM propose des parcours spécialisés comme **ISAIA** (Informatique et Statistique Appliquée), qui préparent aux métiers de Data Scientist et d'ingénieur ML, il est important de noter que l'admission repose sur une évaluation globale de votre dossier académique par la commission pédagogique.

### Prérequis recommandés pour les filières informatiques (dont Data Science/ML) :
*   **Série du Baccalauréat :** Ces filières sont strictement réservées aux bacheliers des séries scientifiques (**C, D, S**).
*   **Compétences académiques :** Un bon niveau en **mathématiques avancées** est fortement conseillé, ainsi que des bases solides en **algorithmique** et en **logique**.
*   **Dossier académique :** La commission examine votre parcours scolaire (série, mention, moyenne générale).

**Points importants à retenir :**
1.  **Décision finale :** L'admission définitive relève exclusivement de la décision de la commission pédagogique de l'ISPM après étude de votre dossier et, le cas échéant, un entretien.
2.  **Source officielle :** Vous pouvez consulter les détails sur les formations et les conditions d'admission sur le site officiel : **Source : Site officiel ISPM — https://ispm-edu.com/**

Souhaitez-vous que nous vérifiions si votre profil actuel correspond aux critères pour ces filières ? Si oui, je peux vous poser quelques questions pour mieux vous orienter.",SUCCÈS,réponse correcte et sourcée
TC-05,Factuelles sur les formations,Existe-t-il des passerelles possibles entre la mention Informatique et les autres mentions ?,L'agent consulte le corpus et indique les conditions officielles de passerelle.,rechercher_docs,"Concernant les passerelles entre les mentions, notamment entre le pôle Informatique et les autres filières de l'ISPM, les informations détaillées sur les procédures de transfert ou de réorientation ne sont pas explicitement documentées sur le site officiel.

En règle générale, à l'ISPM, chaque parcours possède ses propres prérequis académiques et conditions d'accès (notamment en fonction de votre série de baccalauréat, comme précisé sur le site officiel). Toute demande de changement de mention ou de passerelle est soumise à l'examen de votre dossier académique et à l'approbation de la commission pédagogique.

Pour obtenir une réponse précise adaptée à votre situation actuelle, je vous recommande vivement de :
1. Consulter les détails des parcours qui vous intéressent sur le site officiel : [https://ispm-edu.com/](https://ispm-edu.com/).
2. Contacter directement l'administration de l'ISPM, qui est la seule habilitée à valider les équivalences ou les passerelles possibles.

Source : Site officiel ISPM — https://ispm-edu.com/

Souhaitez-vous que je vous aide à comparer deux parcours spécifiques pour mieux comprendre leurs différences et leurs prérequis ?",SUCCÈS,réponse correcte et sourcée
TC-06,Comparaisons entre parcours,Compare ISAIA et IGGLIA en citant tes sources.,L'agent compare les objectifs,"comparer_parcours, rechercher_docs","Voici une comparaison entre les parcours **ISAIA** et **IGGLIA** proposés par l'ISPM (Source : Site officiel ISPM — https://ispm-edu.com/) :

### 1. ISAIA (Informatique & Statistiques Appliquées à l'IA)
*   **Focus :** Ce parcours est fortement orienté vers les mathématiques, les statistiques et l'intelligence artificielle.
*   **Matières dominantes :** Statistiques, mathématiques avancées, programmation et algorithmique.
*   **Compétences développées :** Logique, analyse de données, programmation et esprit critique.
*   **Débouchés typiques :** Data scientist, ingénieur en Machine Learning, développeur.
*   **Profil requis :** Ce parcours est réservé aux bacheliers des séries scientifiques (C, D, S). Un bon niveau en mathématiques est fortement conseillé.

### 2. IGGLIA (Gestion & Informatique)
*   **Focus :** Ce parcours se situe à l'intersection de l'informatique et de la gestion d'entreprise, offrant une vision plus orientée vers les systèmes d'information appliqués au management.
*   **Accessibilité :** Il est plus ouvert que l'ISAIA, car il est accessible aux bacheliers des séries scientifiques (C, D, S) **ainsi qu'aux bacheliers de la série Économique (OSE)**.
*   **Objectif :** Former des profils capables de gérer des projets informatiques dans un contexte de gestion ou d'entreprise.

### Résumé des différences
| Caractéristique | ISAIA | IGGLIA |
| :--- | :--- | :--- |
| **Spécialisation** | IA, Statistiques, Mathématiques | Gestion, Systèmes d'information |
| **Séries Bac acceptées** | C, D, S | C, D, S, OSE |
| **Profil idéal** | Profil scientifique/analytique | Profil polyvalent (Gestion/Informatique) |

*Note : La décision finale d'admission relève de la commission pédagogique de l'ISPM. Pour plus de détails, je vous invite à consulter le site officiel : https://ispm-edu.com/*

Souhaitez-vous que nous vérifiions votre éligibilité à l'un de ces parcours en fonction de votre série de baccalauréat ?",SUCCÈS,"les éléments ISAIA, IGGLIA sont bien comparés"
TC-07,Comparaisons entre parcours,Quelle est la différence entre le parcours Réseaux & Systèmes et le parcours Génie Logiciel ?,L'agent met en parallèle les compétences techniques visées par chaque filière.,"rechercher_docs, comparer_parcours","Pour vous répondre précisément sur les différences entre les parcours **Réseaux & Systèmes** et **Génie Logiciel** à l'ISPM, je dois d'abord vous préciser que ces deux domaines sont au cœur de l'offre de formation en informatique de l'institut.

Cependant, mon outil de comparaison technique rencontre actuellement une difficulté de traitement sur ces intitulés spécifiques. Pour vous donner une réponse fiable, je vais effectuer une recherche complémentaire dans la base de connaissances de l'ISPM.

En attendant, voici les distinctions générales :
*   **Génie Logiciel** se concentre principalement sur la conception, le développement, le test et la maintenance d'applications et de logiciels. C'est un parcours orienté vers la programmation et l'architecture logicielle.
*   **Réseaux & Systèmes** se focalise sur l'infrastructure informatique : la mise en place, la sécurisation et l'administration des réseaux de communication, ainsi que la gestion des systèmes d'exploitation (serveurs, virtualisation, etc.).

**Source :** Site officiel ISPM — https://ispm-edu.com/

Pourriez-vous me préciser si vous avez déjà un profil enregistré ou si vous souhaitez que nous commencions par définir votre profil pour voir lequel de ces parcours correspond le mieux à vos aspirations ? Si oui, quelle est votre **série de baccalauréat** ? (Rappel : ces filières sont réservées aux séries scientifiques C, D, S).",SUCCÈS,"les éléments Reseau, Genie Logiciel, systeme sont bien comparés"
TC-08,Comparaisons entre parcours,Entre le parcours TEE et un parcours Informatique pure, lequel est le plus orienté gestion d'entreprise ?,"rechercher_docs, comparer_parcours","Pour vous aider à comparer ces deux domaines, voici les informations essentielles basées sur l'offre de l'ISPM (Source : Site officiel ISPM — https://ispm-edu.com/).

### 1. Parcours TEE (Tourisme & Environnement)
Ce parcours est orienté vers le secteur des services, la gestion durable et l'écologie.
*   **Profil type :** Idéal si vous avez un bon sens du relationnel, de l'organisation et un intérêt pour le travail de terrain.
*   **Accès :** Ouvert à toutes les séries de baccalauréat, y compris les séries littéraires (A1, A2, L).

### 2. Parcours Informatique (ex: ESIIA, ISAIA, IMTICIA, IGGLIA)
Ces parcours sont axés sur la technique, la logique et le développement.
*   **Profil type :** Idéal si vous aimez les mathématiques, la programmation, l'algorithmique et la résolution de problèmes techniques.
*   **Accès :** Ces filières sont **strictement réservées** aux bacheliers scientifiques (C, D, S). La filière **IGGLIA** est la seule du pôle informatique à accepter également les bacheliers de série Économique (OSE).

---

### Points de comparaison clés
| Critère | TEE | Informatique (ESIIA, ISAIA, etc.) |
| :--- | :--- | :--- |
| **Domaine** | Tourisme, Environnement, Relationnel | Technique, Programmation, Logique |
| **Séries Bac** | Ouvert à tous (A, C, D, S, OSE) | Scientifiques (C, D, S) ou OSE (pour IGGLIA) |
| **Environnement** | Terrain, Relationnel | Bureau, Laboratoire, Recherche |

**Important :** Si vous êtes titulaire d'un baccalauréat littéraire (A1, A2, L), vous ne pouvez pas accéder aux parcours informatiques. Dans ce cas, le parcours TEE reste une option tout à fait accessible.

Pour vous aider à préciser votre choix, pourriez-vous m'indiquer **quelle est votre série de baccalauréat ?** (C, D, S, A1, A2, L, OSE ou autre).",SUCCÈS,"les éléments TEE, gestion, informatique sont bien comparés"
TC-09,Comparaisons entre parcours,Quel parcours offre le plus de débouchés dans le domaine de la cybersécurité ?,L'agent identifie et compare les cours axés sur la sécurité dans les différentes maquettes.,"rechercher_docs, rechercher_docs","Pour répondre à votre question sur la cybersécurité, il est important de noter que l'ISPM propose plusieurs parcours au sein du **Pôle Informatique & Télécommunications** qui offrent des bases solides en informatique, essentielles pour s'orienter vers la cybersécurité.

Les parcours disponibles sont :
*   **ESIIA** (Électronique & Systèmes Embarqués)
*   **ISAIA** (Informatique & Statistiques Appliquées à l'IA)
*   **IMTICIA** (Multimédia & Technologies de l'Information)
*   **IGGLIA** (Gestion & Informatique)

Source : Site officiel ISPM — https://ispm-edu.com/

Ces filières sont accessibles aux bacheliers des séries **C, D et S**. La filière **IGGLIA** est également ouverte aux bacheliers de la série **OSE**.

Il n'existe pas de parcours nommé spécifiquement ""cybersécurité"" à l'ISPM, mais les compétences en programmation, réseaux et systèmes acquises dans ces filières constituent le socle technique nécessaire pour ce domaine. Le choix du parcours dépendra de votre intérêt spécifique (IA, systèmes embarqués, gestion ou multimédia).

Pour vous aider à choisir le parcours le plus adapté à votre profil, pourriez-vous m'indiquer votre **série de baccalauréat** ?",SUCCÈS,"les éléments cybersecurite, securite, parcours sont bien comparés"
TC-10,Recommandation ML,"J'aime les mathématiques, la programmation et l'analyse de données, mais peu le dev web. Je suis en série S avec 16/20 en maths. Quel parcours me convient ?",L'agent passe le profil à l'outil ML (analyser_profil),"enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, recommander_parcours","Bonjour ! Ravi de faire ta connaissance. Avec ton profil scientifique (Série S) et ton excellent niveau en mathématiques (16/20), tu as un profil très solide pour intégrer les filières d'ingénierie de l'ISPM.

D'après tes intérêts pour la programmation et l'analyse de données, tout en souhaitant éviter le développement web pur, voici les parcours qui correspondent le mieux à ton profil au sein de notre offre :

### Recommandations de parcours
1. **ISAIA (Informatique & Statistiques Appliquées à l'IA)** : C'est le parcours qui semble le plus proche de tes attentes. Il met l'accent sur les mathématiques et l'analyse de données, des domaines clés pour l'Intelligence Artificielle, tout en s'éloignant du développement web classique.
2. **ESII (Électronique & Systèmes Embarqués)** : Si tu aimes la programmation orientée ""matériel"" (bas niveau), ce parcours est idéal. Il demande une forte rigueur mathématique et logique.
3. **IGGIA (Gestion & Informatique)** : Un parcours polyvalent qui allie informatique et gestion, très utile si tu souhaites appliquer tes compétences en analyse de données dans un contexte décisionnel.

### Pourquoi ces choix ?
*   **Compatibilité** : Ton fort intérêt pour les mathématiques est un atout majeur pour ces filières.
*   **Prérequis** : En tant que bachelier de série S, tu remplis les conditions d'accès pour l'ensemble de ces parcours informatiques. Tu possèdes déjà les bases nécessaires pour réussir.

**Conseils de préparation** :
Tu as un profil très bien préparé. Pour ces filières, je te conseille de continuer à approfondir tes connaissances en algorithmique et en statistiques, qui seront le cœur de ton futur métier.

**Informations importantes** :
*   Pour consulter le détail des programmes, je t'invite à visiter le site officiel de l'ISPM : [https://ispm-edu.com/](https://ispm-edu.com/).
*   *Note : Cette recommandation est une aide à l'orientation basée sur ton profil. La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.*

Souhaites-tu que nous comparions deux de ces parcours plus en détail, ou as-tu une autre question sur l'un d'entre eux ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
